SchemaIdentifier,SchemaMajorVersion,SchemaMajorVersionDate,SchemaLabel,SchemaDescription,SchemaTemplateId,SchemaMinorVersions,SchemaMinorVersionDates,SchemaMinorVersionDescriptions,SchemaRequirementIdentifier,SchemaRequirementOrder,SchemaRequirementLabel,SchemaRequirementMandatory,SchemaRequirementDescription,SchemaRequirementMinOccurances,SchemaRequirementMaxOccurances,SchemaRequirementNote,SchemaRequirementFieldIdentifier,SchemaRequirementFieldOrder,SchemaRequirementFieldDescription,SchemaRequirementFieldMandatory,SchemaRequirementFieldMinOccurances,SchemaRequirementFieldMaxOccurances,SchemaRequirementFieldHelp,FieldIdentifier,FieldLabel,FieldType,FieldDescription,FieldPattern,FieldURIStubs
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","url","4","URL of the service","False","0","99","","services_url","url","URI","URL of the service","^(https?|wss?|ftp)://",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","email","5","Email address for the service","False","0","99","","services_email","email","String","Email address for the service","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","status","6","The current status of the service.","False","0","99","","services_status","status","EncodedList","The current status of the service.","(active|inactive|defunct|temporarily closed)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","fees","7","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","False","0","99","","services_fees","fees","String","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","accreditations","8","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","False","0","99","","services_accreditations","accreditations","String","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","deliverable_type","9","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","False","0","99","","services_deliverable_type","deliverable_type","EncodedList","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","(Advice|Assessment|Counselling|Equipment|Financial Support|Information|Permission|Training)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","assured_date","10","The date that the information about the service was last checked","False","0","99","","services_assured_date","assured_date","String","The date that the information about the service was last checked","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","attending_type","11","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","False","0","99","","services_attending_type","attending_type","EncodedList","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","(phone|online|venue|home visit)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","services","2","Services","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","attending_access","12","Access restrictions for this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","False","0","99","","services_attending_access","attending_access","EncodedList","Access restrictions for this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","(referral|appointment|membership|drop-in)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","id","1","Each entry must have a unique identifier","True","1","99","","reviews_id","id","String","Each entry must have a unique identifier","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","title","2","The title of the review","False","0","99","","reviews_title","title","String","The title of the review","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","description","3","A detailed description of this review","False","0","99","","reviews_description","description","String","A detailed description of this review","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","date","4","The date of the review","False","0","99","","reviews_date","date","Date","The date of the review","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","score","5","The review score

Application Profile Notes: e.g. '3 star'","False","0","99","","reviews_score","score","String","The review score

Application Profile Notes: e.g. '3 star'","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","url","6","A URL were the review can be read","False","0","99","","reviews_url","url","String","A URL were the review can be read","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews","3","Reviews","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","widget","7","Code that can be embedded into a web page to give more information about a review.","False","0","99","","reviews_widget","widget","String","Code that can be embedded into a web page to give more information about a review.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","id","1","Each service must have a unique identifier.","True","1","99","","reviews_service_id","id","String","Each service must have a unique identifier.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","name","2","The official or public name of the service.","True","1","99","","reviews_service_name","name","String","The official or public name of the service.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","description","3","A description of the service.  It can contain markup such as HTML or Markdown.","False","0","99","","reviews_service_description","description","String","A description of the service.  It can contain markup such as HTML or Markdown.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","url","4","URL of the service","False","0","99","","reviews_service_url","url","URI","URL of the service","^(https?|wss?|ftp)://",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","email","5","Email address for the service","False","0","99","","reviews_service_email","email","String","Email address for the service","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","status","6","The current status of the service.","False","0","99","","reviews_service_status","status","EncodedList","The current status of the service.","(active|inactive|defunct|temporarily closed)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","fees","7","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","False","0","99","","reviews_service_fees","fees","String","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","accreditations","8","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","False","0","99","","reviews_service_accreditations","accreditations","String","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","deliverable_type","9","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","False","0","99","","reviews_service_deliverable_type","deliverable_type","EncodedList","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","(Advice|Assessment|Counselling|Equipment|Financial Support|Information|Permission|Training)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","assured_date","10","The date that the information about the service was last checked","False","0","99","","reviews_service_assured_date","assured_date","String","The date that the information about the service was last checked","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","attending_type","11","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","False","0","99","","reviews_service_attending_type","attending_type","EncodedList","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","(phone|online|venue|home visit)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","reviews_service","4","Reviews Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","attending_access","12","Access restrictions for this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","False","0","99","","reviews_service_attending_access","attending_access","EncodedList","Access restrictions for this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","(referral|appointment|membership|drop-in)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies","5","Link Taxonomies","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","id","1","A unique identifier for the link taxonomy","True","1","99","","link_taxonomies_id","id","String","A unique identifier for the link taxonomy","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies","5","Link Taxonomies","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","link_type","2","The class that the taxonomy applies to","True","1","99","","link_taxonomies_link_type","link_type","EncodedList","The class that the taxonomy applies to","(organization|eligibility|cost_option|service_area)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies","5","Link Taxonomies","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","link_id","3","The identifier of the class","True","1","99","","link_taxonomies_link_id","link_id","String","The identifier of the class","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility","6","Link Taxonomies Eligibility","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","id","1","Each entry must have a unique identifier","True","1","99","","link_taxonomies_eligibility_id","id","String","Each entry must have a unique identifier","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility","6","Link Taxonomies Eligibility","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","eligibility","2","The rules or guidelines that determine who can receive the service.

Application Profile Notes: Use structured information where available in preference to this text field. OR permitted values should be removed from the LGA Application Profile.","False","0","99","","link_taxonomies_eligibility_eligibility","eligibility","EncodedList","The rules or guidelines that determine who can receive the service.

Application Profile Notes: Use structured information where available in preference to this text field. OR permitted values should be removed from the LGA Application Profile.","(adult|child|teen|family|female|male|Transgender|Transgender - M to F|Transgender - F to M)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility","6","Link Taxonomies Eligibility","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","minimum_age","3","The minimum age required to meet this eligibility requirement.","True","1","99","","link_taxonomies_eligibility_minimum_age","minimum_age","Number","The minimum age required to meet this eligibility requirement.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility","6","Link Taxonomies Eligibility","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","maximum_age","4","The maximum age required to meet this eligibility requirement.","True","1","99","","link_taxonomies_eligibility_maximum_age","maximum_age","Number","The maximum age required to meet this eligibility requirement.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","id","1","Each service must have a unique identifier.","True","1","99","","link_taxonomies_eligibility_service_id","id","String","Each service must have a unique identifier.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","1","99","","name","2","The official or public name of the service.","True","1","99","","link_taxonomies_eligibility_service_name","name","String","The official or public name of the service.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","description","3","A description of the service.  It can contain markup such as HTML or Markdown.","False","0","99","","link_taxonomies_eligibility_service_description","description","String","A description of the service.  It can contain markup such as HTML or Markdown.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","url","4","URL of the service","False","0","99","","link_taxonomies_eligibility_service_url","url","URI","URL of the service","^(https?|wss?|ftp)://",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","email","5","Email address for the service","False","0","99","","link_taxonomies_eligibility_service_email","email","String","Email address for the service","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","status","6","The current status of the service.","False","0","99","","link_taxonomies_eligibility_service_status","status","EncodedList","The current status of the service.","(active|inactive|defunct|temporarily closed)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","fees","7","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","False","0","99","","link_taxonomies_eligibility_service_fees","fees","String","Details of any charges for service users to access this service.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'cost_option'.  This 'fees' field can contain a single human-readable description of costs.  The 'cost_option' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","accreditations","8","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","False","0","99","","link_taxonomies_eligibility_service_accreditations","accreditations","String","Details of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.

Application Profile Notes: Use structured information where available in preference to this text field. LGA defines an extension table for 'review'.  This 'accreditations' field can contain a single human-readable description of reviews.  The 'review' table can optionally add a further breakdown that can be filtered on.","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","deliverable_type","9","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","False","0","99","","link_taxonomies_eligibility_service_deliverable_type","deliverable_type","EncodedList","A categorisation of the nature of the output of the Service.

Application Profile Notes: Expected to reference a taxonomy rather than an enueration in future versions","(Advice|Assessment|Counselling|Equipment|Financial Support|Information|Permission|Training)",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","assured_date","10","The date that the information about the service was last checked","False","0","99","","link_taxonomies_eligibility_service_assured_date","assured_date","String","The date that the information about the service was last checked","",""
"CombinedServiceSchema","1","07/04/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","07/04/2020","First formal release","link_taxonomies_eligibility_service","7","Link Taxonomies Eligibility Service","False","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","99","","attending_type","11","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","False","0","99","","link_taxonomies_eligibility_service_attending_type","attending_type","EncodedList","How to attend this service.

Application Profile Notes: Expected to reference a taxonomy ratehr than an enueration in future versions","(phone|online|venue|home visit)",""
