mysql,service_directory,organization,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,organization,name,1,varchar,65535,,service_directory,,
mysql,service_directory,organization,description,2,varchar,65535,,service_directory,,
mysql,service_directory,organization,email,3,varchar,65535,,service_directory,,
mysql,service_directory,organization,url,4,varchar,65535,,service_directory,,
mysql,service_directory,organization,logo,5,varchar,65535,,service_directory,,
mysql,service_directory,organization,uri,6,varchar,65535,,service_directory,,
mysql,service_directory,service,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,service,organization_id,1,varchar,1536,FOREIGN KEY,service_directory,organization,id
mysql,service_directory,service,name,2,varchar,65535,,service_directory,,
mysql,service_directory,service,description,3,varchar,65535,,service_directory,,
mysql,service_directory,service,url,4,varchar,65535,,service_directory,,
mysql,service_directory,service,email,5,varchar,65535,,service_directory,,
mysql,service_directory,service,status,6,varchar,65535,,service_directory,,
mysql,service_directory,service,fees,7,varchar,65535,,service_directory,,
mysql,service_directory,service,accreditations,8,varchar,65535,,service_directory,,
mysql,service_directory,service,deliverable_type,9,varchar,65535,,service_directory,,
mysql,service_directory,service,assured_date,10,varchar,65535,,service_directory,,
mysql,service_directory,service,attending_type,11,varchar,65535,,service_directory,,
mysql,service_directory,service,attending_access,12,varchar,65535,,service_directory,,
mysql,service_directory,service_taxonomy,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,service_taxonomy,service_id,1,varchar,1536,FOREIGN KEY,service_directory,service,id
mysql,service_directory,service_taxonomy,taxonomy_id,2,varchar,1536,FOREIGN KEY,service_directory,taxonomy,id
mysql,service_directory,service_at_location,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,service_at_location,service_id,1,varchar,1536,FOREIGN KEY,service_directory,service,id
mysql,service_directory,service_at_location,location_id,2,varchar,1536,FOREIGN KEY,service_directory,location,id
mysql,service_directory,location,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,location,name,1,varchar,65535,,service_directory,,
mysql,service_directory,location,description,2,varchar,65535,,service_directory,,
mysql,service_directory,location,latitude,3,double,,,service_directory,,
mysql,service_directory,location,longitude,4,double,,,service_directory,,
mysql,service_directory,phone,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,phone,contact_id,1,varchar,1536,FOREIGN KEY,service_directory,contact,id
mysql,service_directory,phone,number,2,varchar,65535,,service_directory,,
mysql,service_directory,phone,language,3,varchar,65535,,service_directory,,
mysql,service_directory,contact,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,contact,service_id,1,varchar,1536,FOREIGN KEY,service_directory,service,id
mysql,service_directory,contact,name,2,varchar,65535,,service_directory,,
mysql,service_directory,contact,title,3,varchar,65535,,service_directory,,
mysql,service_directory,physical_address,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,physical_address,location_id,1,varchar,1536,FOREIGN KEY,service_directory,location,id
mysql,service_directory,physical_address,address_1,2,varchar,65535,,service_directory,,
mysql,service_directory,physical_address,city,3,varchar,65535,,service_directory,,
mysql,service_directory,physical_address,state_province,4,varchar,65535,,service_directory,,
mysql,service_directory,physical_address,postal_code,5,varchar,65535,,service_directory,,
mysql,service_directory,physical_address,country,6,varchar,65535,,service_directory,,
mysql,service_directory,regular_schedule,id,0,varchar,1536,PRIMARY KEY,service_directory,,
mysql,service_directory,regular_schedule,service_id,1,varchar,1536,FOREIGN KEY,service_directory,service,id
mysql,service_directory,regular_schedule,service_at_location_id,2,varchar,1536,FOREIGN KEY,service_directory,service_at_location,id
mysql,service_directory,regular_schedule,opens_at,3,time,,,service_directory,,
mysql,service_directory,regular_schedule,closes_at,4,time,,,service_directory,,
mysql,service_directory,regular_schedule,valid_from,5,datetime,,,service_directory,,
mysql,service_directory,regular_schedule,valid_to,6,datetime,,,service_directory,,
mysql,service_directory,regular_schedule,dtstart,7,datetime,,,service_directory,,
mysql,service_directory,regular_schedule,freq,8,varchar,65535,,service_directory,,
mysql,service_directory,regular_schedule,interval,9,,,,service_directory,,
mysql,service_directory,regular_schedule,byday,10,varchar,65535,,service_directory,,
mysql,service_directory,regular_schedule,bymonthday,11,,,,service_directory,,
mysql,service_directory,regular_schedule,description,12,varchar,65535,,service_directory,,
